STT,Tên Tour,Dịch vụ,Giá,Ghi chú
7,Tour Hà Giang - Cao Bằng 4N3Đ,Thiết Kế Riêng, Liên hệ ,
7,Tour Hà Giang - Cao Bằng 4N3Đ,1-1,"8,900,000",
7,Tour Hà Giang - Cao Bằng 4N3Đ,Ô tô, Liên hệ ,
8,Tour Hà Giang - Cao Bằng 5N4Đ,Xe Máy Tự Lái,"7,100,000",
8,Tour Hà Giang - Cao Bằng 5N4Đ,Xe Máy Xế Chở,"8,800,000",
8,Tour Hà Giang - Cao Bằng 5N4Đ,Thiết Kế Riêng, Liên hệ ,
8,Tour Hà Giang - Cao Bằng 5N4Đ,1-1,"9,800,000",
8,Tour Hà Giang - Cao Bằng 5N4Đ,Ô tô, Liên hệ ,
9,Tour Sapa - Hà Giang - Cao Bằng 7N6Đ,Xe Máy Xế Chở,"15,000,000",
9,Tour Sapa - Hà Giang - Cao Bằng 7N6Đ,1-1,"17,500,000",
10,Tour Sapa - Hà Giang 5N4Đ,Xe Máy Tự Lái,"6,700,000",
10,Tour Sapa - Hà Giang 5N4Đ,Xe Máy Xế Chở,"8,000,000",
10,Tour Sapa - Hà Giang 5N4Đ,1-1,"9,500,000",
11,"Tour Half Soul, Half Road Hà Giang 5N4Đ",1-1,"15,000,000",
12,Tour Mộc Châu - Tà Xùa - Điện Biên - Sapa - Hà Giang 7N6Đ,1-1,"30,000,000",
12,Tour Mộc Châu - Tà Xùa - Điện Biên - Sapa - Hà Giang 7N6Đ,Ô tô,"8,500,000",Khách > 5
13,Tour Hà Giang - Cao Bằng - Ba Bể 7N6Đ,Thiết Kế Riêng,"11,500,000",
13,Tour Hà Giang - Cao Bằng - Ba Bể 7N6Đ,1-1,"16,500,000",
14,Tour Đông Tây Bắc 10N9Đ,Thiết Kế Riêng,"19,000,000",
14,Tour Đông Tây Bắc 10N9Đ,1-1,"27,000,000",
15,Tour Trekking Tp Hà Giang (Xà Phìn) 2N1Đ,Thiết Kế Riêng,"3,500,000",
15,Tour Trekking Tp Hà Giang (Xà Phìn) 2N1Đ,1-1,"5,000,000",
16,Tour Camping Sông Nho Quế 2N1Đ,Thiết Kế Riêng,"2,500,000",
16,Tour Camping Sông Nho Quế 2N1Đ,1-1,"3,000,000",
17,Tour Trekking Mèo Vạc 2N1Đ,Thiết Kế Riêng,"3,500,000",
17,Tour Trekking Mèo Vạc 2N1Đ,1-1,"5,000,000",
18,Trekking Hoàng Su Phì 4N3Đ,Thiết Kế Riêng,"8,500,000",
18,Trekking Hoàng Su Phì 4N3Đ,1-1,"13,500,000",
19,Tour Hồ Ba Bể 3N2Đ,Thiết Kế Riêng,"6,500,000",
19,Tour Hồ Ba Bể 3N2Đ,1-1,"7,500,000",
20,Tour Cao Bằng 3N2Đ,Xe Máy Xế Chở,"5,500,000",
20,Tour Cao Bằng 3N2Đ,Thiết Kế Riêng,"6,500,000",
20,Tour Cao Bằng 3N2Đ,1-1,"7,800,000",
21,Tour Cao Bằng 4N3Đ,Xe Máy Xế Chở,"6,900,000",
21,Tour Cao Bằng 4N3Đ,Thiết Kế Riêng,"7,800,000",
21,Tour Cao Bằng 4N3Đ,1-1,"8,500,000",
22,Tour Off Road Hà Giang (PG1) 5N4Đ,Thiết Kế Riêng,"20,000,000",
22,Tour Off Road Hà Giang (PG1) 5N4Đ,1-1,"25,000,000",
